Key doors report (locked door itemids)
count: 362
x,y,z,itemid,actionid,uniqueid,keynumber
32950,32109,5,1209,0,0,0
32904,32113,5,1209,0,0,0
32913,32119,5,1209,0,0,0
32899,32145,5,1212,0,0,0
32307,32183,5,1212,0,0,0
32349,32183,5,1212,0,0,0
33239,32391,5,1234,0,0,0
33221,32404,5,1234,0,0,0
33221,32407,5,1234,0,0,0
33236,32409,5,1231,0,0,0
33098,32523,5,1252,0,0,0
33101,32523,5,1252,0,0,0
33102,32527,5,1252,0,0,0
33100,32531,5,1249,0,0,0
33103,32531,5,1249,0,0,0
33101,32537,5,1252,0,0,0
33042,32620,5,1249,0,0,0
33038,32622,5,1252,0,0,0
33045,32632,5,1249,0,0,0
33148,32842,5,1234,0,0,0
33153,32842,5,1234,0,0,0
32794,31582,6,1212,0,0,0
32809,31593,6,1212,0,0,0
32814,31595,6,1212,0,0,0
31943,31709,6,1209,0,0,0
31947,31712,6,1209,0,0,0
32315,31752,6,1212,0,0,0
32319,31752,6,1212,0,0,0
33169,31789,6,1209,0,0,0
33168,31794,6,1212,0,0,0
33167,31805,6,1212,0,0,0
33189,31808,6,1212,0,0,0
33193,31808,6,1212,0,0,0
33197,31808,6,1212,0,0,0
32336,31811,6,1212,0,0,0
32603,31921,6,1212,0,0,0
32611,31921,6,1212,0,0,0
32600,31926,6,1209,0,0,0
32178,31928,6,1212,3350,0,0
32580,31948,6,1209,0,0,0
32726,31976,6,1209,0,0,0
32728,31980,6,1209,0,0,0
32566,32019,6,1209,0,0,0
32566,32022,6,1209,0,0,0
32874,32030,6,1212,0,0,0
32887,32030,6,1212,0,0,0
32874,32033,6,1212,0,0,0
32887,32033,6,1212,0,0,0
33005,32034,6,1209,0,0,0
33009,32072,6,1209,0,0,0
32999,32096,6,1209,0,0,0
32967,32119,6,1209,0,0,0
32869,32124,6,1212,0,0,0
32891,32124,6,1212,0,0,0
32869,32127,6,1212,0,0,0
32891,32127,6,1212,0,0,0
32921,32138,6,1212,0,0,0
32934,32139,6,1209,0,0,0
32937,32139,6,1209,0,0,0
32894,32144,6,1212,0,0,0
32934,32152,6,1209,0,0,0
32937,32152,6,1209,0,0,0
32409,32176,6,1209,0,0,0
32099,32179,6,1209,0,0,0
32348,32181,6,1209,0,0,0
32308,32183,6,1212,0,0,0
32412,32201,6,1212,0,0,0
32082,32203,6,1209,0,0,0
32042,32205,6,1209,0,0,0
32321,32258,6,1212,0,0,0
32320,32277,6,1212,0,0,0
32786,32328,6,1209,0,0,0
33221,32406,6,1234,0,0,0
33239,32406,6,1234,0,0,0
33226,32409,6,1231,0,0,0
33201,32469,6,1212,0,0,0
33256,32470,6,1209,0,0,0
33097,32532,6,1249,0,0,0
33043,32622,6,1249,0,0,0
33043,32631,6,1249,0,0,0
32796,31597,7,1212,0,0,0
32811,31597,7,1212,0,0,0
32814,31597,7,1212,0,0,0
32484,31603,7,1212,0,0,0
32672,31610,7,1209,0,0,0
32132,31658,7,1209,0,0,0
32218,31753,7,1212,0,0,0
32945,31758,7,1209,0,0,0
32632,31766,7,1212,0,0,0
33186,31782,7,1209,0,0,0
33196,31782,7,1209,0,0,0
33197,31808,7,1212,0,0,0
33185,31827,7,1209,0,0,0
33197,31827,7,1209,0,0,0
33220,31832,7,1209,0,0,0
32527,31966,7,1209,0,0,0
32620,32004,7,1209,0,0,0
32624,32007,7,1212,0,0,0
32905,32013,7,1209,0,0,0
32565,32018,7,1209,0,0,0
32566,32023,7,1209,0,0,0
32901,32030,7,1212,0,0,0
32975,32035,7,1212,0,0,0
32980,32035,7,1212,0,0,0
32972,32037,7,1212,0,0,0
32981,32037,7,1209,0,0,0
32980,32038,7,1212,0,0,0
32993,32064,7,1212,0,0,0
32989,32065,7,1212,0,0,0
32992,32067,7,1209,0,0,0
32887,32079,7,1212,0,0,0
32978,32080,7,1209,0,0,0
32889,32081,7,1209,0,0,0
32885,32082,7,1209,0,0,0
32887,32084,7,1212,0,0,0
32972,32086,7,1212,0,0,0
32981,32086,7,1212,0,0,0
32971,32088,7,1209,0,0,0
32948,32104,7,1209,0,0,0
32954,32105,7,1212,0,0,0
32945,32107,7,1212,0,0,0
32948,32110,7,1209,0,0,0
32908,32112,7,1209,0,0,0
32906,32115,7,1212,0,0,0
32914,32116,7,1212,0,0,0
32488,32117,7,1212,0,0,0
32898,32140,7,1212,0,0,0
32895,32141,7,1209,0,0,0
32900,32141,7,1209,0,0,0
32895,32144,7,1209,0,0,0
32900,32144,7,1209,0,0,0
32895,32147,7,1209,0,0,0
32900,32147,7,1209,0,0,0
32898,32149,7,1212,0,0,0
32357,32195,7,1212,0,0,0
32065,32225,7,1209,0,0,0
32396,32225,7,1212,0,0,0
32786,32328,7,1209,0,0,0
32786,32336,7,1209,0,0,0
33214,32382,7,1234,0,0,0
33209,32386,7,1231,0,0,0
33209,32387,7,1231,0,0,0
33224,32391,7,1231,0,0,0
33233,32391,7,1231,0,0,0
33224,32409,7,1231,0,0,0
33236,32409,7,1231,0,0,0
33250,32479,7,1234,0,0,0
33047,32628,7,1252,0,0,0
32408,31590,8,1209,0,0,0
32035,31642,8,1209,0,0,0
32677,31699,8,1212,0,0,0
32400,31788,8,1209,0,0,0
32400,31789,8,1209,0,0,0
32398,31804,8,1209,0,0,0
32591,31901,8,1209,0,0,0
32850,31915,8,1209,0,0,0
32850,31923,8,1212,0,0,0
32824,31969,8,1209,0,0,0
32385,31999,8,1209,0,0,0
32385,32002,8,1209,0,0,0
32385,32005,8,1209,0,0,0
32450,32044,8,1209,0,0,0
33022,32050,8,1212,0,0,0
33019,32053,8,1209,0,0,0
33019,32056,8,1209,0,0,0
32761,32065,8,1209,0,0,0
32643,32128,8,1212,0,0,0
32898,32145,8,1212,0,0,0
32109,32172,8,1209,4600,0,0
32310,32179,8,1209,0,0,0
33069,32179,8,1212,0,0,0
33065,32184,8,1209,0,0,0
32619,32240,8,1212,0,0,0
32619,32241,8,1212,0,0,0
32499,32245,8,1209,0,0,0
32494,32247,8,1209,0,0,0
32495,32250,8,1212,0,0,0
32331,32259,8,1212,0,0,0
32505,32270,8,1209,0,0,0
32314,32275,8,1212,0,0,0
32323,32275,8,1212,0,0,0
32326,32275,8,1212,0,0,0
32465,32275,8,1209,0,0,0
32333,32277,8,1209,0,0,0
32314,32278,8,1212,0,0,0
32317,32278,8,1212,0,0,0
32320,32278,8,1212,0,0,0
32323,32278,8,1212,0,0,0
32326,32278,8,1212,0,0,0
32817,32329,8,1212,0,0,0
32817,32333,8,1212,0,0,0
32818,32340,8,1212,0,0,0
32190,32432,8,1212,0,0,0
33281,32441,8,1212,0,0,0
33275,32446,8,1209,0,0,0
33287,32446,8,1209,0,0,0
33289,32455,8,1209,0,0,0
33280,32456,8,1212,0,0,0
33098,32523,8,1249,0,0,0
33145,32863,8,1231,0,0,0
33144,32868,8,1234,0,0,0
32107,31568,9,1212,0,0,0
32108,31568,9,1212,0,0,0
32100,31569,9,1209,0,0,0
32114,31569,9,1209,0,0,0
32100,31570,9,1209,0,0,0
32114,31570,9,1209,0,0,0
32658,31645,9,1212,0,0,0
32655,31655,9,1212,0,0,0
32501,31676,9,1212,0,0,0
32499,31682,9,1209,0,0,0
32960,31756,9,1212,0,0,0
32961,31756,9,1212,0,0,0
32960,31758,9,1212,0,0,0
32961,31758,9,1212,0,0,0
32960,31760,9,1212,0,0,0
32961,31760,9,1212,0,0,0
32597,31875,9,1212,0,0,0
32624,31883,9,1212,0,0,0
32658,31921,9,1209,0,0,0
32574,31936,9,1212,0,0,0
32584,31936,9,1212,0,0,0
32576,31938,9,1209,0,0,0
32581,31938,9,1209,0,0,0
32424,31943,9,1209,0,0,0
32911,32081,9,1209,0,0,0
32680,32083,9,1209,0,0,0
32614,32175,9,1212,0,0,0
32508,32268,9,1212,0,0,0
32515,32298,9,1209,0,0,0
32039,31603,10,1209,0,0,0
32582,31641,10,1212,0,0,0
32585,31641,10,1212,0,0,0
32588,31641,10,1212,0,0,0
32591,31641,10,1212,0,0,0
32582,31644,10,1212,0,0,0
32585,31644,10,1212,0,0,0
32588,31644,10,1212,0,0,0
32591,31644,10,1212,0,0,0
32675,31649,10,1212,0,0,0
32689,31666,10,1209,0,0,0
32689,31669,10,1209,0,0,0
32675,31671,10,1212,0,0,0
32689,31672,10,1209,0,0,0
32689,31675,10,1209,0,0,0
32689,31678,10,1209,0,0,0
32457,31966,10,1209,0,0,0
32450,31967,10,1209,0,0,0
32452,31972,10,1212,0,0,0
32456,31972,10,1212,0,0,0
32691,32131,10,1212,0,0,0
32179,32149,10,1209,4603,0,0
32620,32199,10,1212,0,0,0
32277,32420,10,1212,0,0,0
32679,32085,11,1209,0,0,0
32628,32098,11,1212,0,0,0
32145,32100,11,1212,4601,0,0
32642,32141,11,1209,0,0,0
32177,32148,11,1209,0,0,0
31986,32230,11,1209,0,0,0
31999,32230,11,1209,0,0,0
32789,32354,11,1212,0,0,0
32794,32354,11,1212,0,0,0
32777,32355,11,1209,0,0,0
32777,32359,11,1209,0,0,0
32777,32363,11,1209,0,0,0
32114,32047,12,1212,0,0,0
32113,32055,12,1212,0,0,0
32118,32059,12,1209,0,0,0
32665,32141,12,1209,0,0,0
32015,32230,12,1212,0,0,0
31992,32231,12,1212,0,0,0
32693,31574,13,1212,0,0,0
32693,31577,13,1212,0,0,0
33211,31634,13,1212,0,0,0
32551,31988,13,1209,0,0,0
32513,31947,14,1212,0,0,0
32602,31958,14,1212,0,0,0
32603,31958,14,1212,0,0,0
32602,31962,14,1212,0,0,0
32603,31962,14,1212,0,0,0
32602,31966,14,1212,0,0,0
32603,31966,14,1212,0,0,0
32602,31975,14,1212,0,0,0
32603,31975,14,1212,0,0,0
32592,32102,14,1209,0,0,0
32446,32123,14,1212,0,0,0
32444,32128,14,1212,0,0,0
32393,32136,14,1212,0,0,0
32447,32151,14,1209,0,0,0
32462,32153,14,1212,0,0,0
32506,32175,14,1209,0,0,0
32426,32184,14,1212,0,0,0
32397,32114,15,1212,0,0,0
32395,32117,15,1212,0,0,0
32462,32151,15,1209,0,0,0
32578,32197,15,1212,0,0,0
